id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
NB_00583,Vườn hoa CX07,Du lịch,công viên,20.438075,106.1604703,"33 Phố Phạm Văn Nghị, Lộc Vượng, Nam Định, 07115",Nam Định,Vườn hoa CX07 là công viên tại Nam Định.,Vườn hoa CX07 Du lịch công viên Nam Định Ninh Bình
NB_00584,Vườn hoa CX08,Du lịch,công viên,20.4385088,106.1592964,"Đường Nguyễn Công Trứ, Lộc Vượng, Nam Định, 07115",Nam Định,Vườn hoa CX08 là công viên tại Nam Định.,Vườn hoa CX08 Du lịch công viên Nam Định Ninh Bình
NB_00585,Vườn hoa CX06,Du lịch,công viên,20.4391911,106.1609318,"7 Phố Phạm Văn Nghị, Lộc Vượng, Nam Định, 07115",Nam Định,Vườn hoa CX06 là công viên tại Nam Định.,Vườn hoa CX06 Du lịch công viên Nam Định Ninh Bình
NB_00586,VƯờng hoa CX05,Du lịch,công viên,20.4396635,106.1596836,"7 Đường Nguyễn Công Trứ, Lộc Vượng, Nam Định, 07115",Nam Định,VƯờng hoa CX05 là công viên tại Nam Định.,VƯờng hoa CX05 Du lịch công viên Nam Định Ninh Bình
NB_00587,Vườn hoa CX02,Du lịch,công viên,20.4401761,106.1587215,"Phố Nguyễn Thực, Lộc Vượng, Nam Định, 07115",Nam Định,Vườn hoa CX02 là công viên tại Nam Định.,Vườn hoa CX02 Du lịch công viên Nam Định Ninh Bình
NB_00588,Vườn hoa CX01,Du lịch,công viên,20.4410283,106.1577373,"7 Đường Trần Anh Tông, Lộc Vượng, Nam Định, 07115",Nam Định,Vườn hoa CX01 là công viên tại Nam Định.,Vườn hoa CX01 Du lịch công viên Nam Định Ninh Bình
NB_00589,Vườn hoa CX04,Du lịch,công viên,20.4401817,106.1570171,"37 Đường Trần Anh Tông, Lộc Vượng, Nam Định, 07115",Nam Định,Vườn hoa CX04 là công viên tại Nam Định.,Vườn hoa CX04 Du lịch công viên Nam Định Ninh Bình
NB_00590,Vườn hoa CX28,Du lịch,công viên,20.4356128,106.1554299,"Đường Trương Hán Siêu, Lộc Hòa, Nam Định, 07117",Nam Định,Vườn hoa CX28 là công viên tại Nam Định.,Vườn hoa CX28 Du lịch công viên Nam Định Ninh Bình
NB_00591,Vườn hoa CX34,Du lịch,công viên,20.4345278,106.1549475,"Phố Trần Nguyên Đán, Lộc Hòa, Nam Định, 07117",Nam Định,Vườn hoa CX34 là công viên tại Nam Định.,Vườn hoa CX34 Du lịch công viên Nam Định Ninh Bình
NB_00592,Vườn hoaCX36,Du lịch,công viên,20.4336575,106.1546236,"Phố Đặng Dung, Lộc Hòa, Nam Định, 07117",Nam Định,Vườn hoaCX36 là công viên tại Nam Định.,Vườn hoaCX36 Du lịch công viên Nam Định Ninh Bình
NB_00593,Công viên Vị Hoàng,Du lịch,công viên,20.4352526,106.1782961,"Đường Trường Chinh, Vị Hoàng, Nam Định, 07109",Nam Định,Công viên Vị Hoàng là công viên tại Nam Định.,Công viên Vị Hoàng Du lịch công viên Nam Định Ninh Bình
NB_00594,Bảo tàng tỉnh Nam Đinh,Du lịch,bảo tàng,20.423269,106.1740875,"Đường Cung Văn Hóa Thiếu Nhi, Ngô Quyền, Nam Định, 07130",Nam Định,Bảo tàng tỉnh Nam Đinh là bảo tàng tại Nam Định.,Bảo tàng tỉnh Nam Đinh Du lịch bảo tàng Nam Định Ninh Bình
NB_00595,Bảo tàng Dệt may Việt Nam,Du lịch,bảo tàng,20.4249042,106.1700625,"Đường Hoàng Hoa Thám, Ngô Quyền, Nam Định, 07130",Nam Định,Bảo tàng Dệt may Việt Nam là bảo tàng tại Nam Định.,Bảo tàng Dệt may Việt Nam Du lịch bảo tàng Nam Định Ninh Bình
NB_00596,Đền vua Lê Đại Hành,Khác,địa điểm,20.2861692,105.9057242,"Đền Vua Lê, Ninh Bình",,Đền vua Lê Đại Hành là địa điểm tại Ninh Bình.,Đền vua Lê Đại Hành Khác địa điểm  Ninh Bình
