id,name,domain,category_vi,latitude,longitude,address,district,province,description,search_text
HN_01300,Nhà Hàng Món Huế,Ẩm thực,nhà hàng,21.011719,105.801052,"Món Huế, 67 Đường Trần Duy Hưng, Trung Hòa, Cầu Giấy, Hà Nội, 11313",Hà Nội,Hà Nội,"Nhà Hàng Món Huế là nhà hàng tại Hà Nội, Hà Nội.",Nhà Hàng Món Huế Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01301,Nhà Hàng Grill Mapa,Ẩm thực,nhà hàng,21.0163305,105.7997975,"Buffet Thịt Nướng Nhật Bản Mikata, 81 Phố Trung Hòa, Trung Hòa, Cầu Giấy, Hà Nội, 11313",Hà Nội,Hà Nội,"Nhà Hàng Grill Mapa là nhà hàng tại Hà Nội, Hà Nội.",Nhà Hàng Grill Mapa Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01302,Cube Beefsteak & Drinks,Ẩm thực,nhà hàng,21.015498,105.8319741,"16 Hẻm 111/10 Xã Đàn 2, Nam Đồng, Đống Đa, Hà Nội, 11524",Hà Nội,Hà Nội,"Cube Beefsteak & Drinks là nhà hàng tại Hà Nội, Hà Nội.",Cube Beefsteak & Drinks Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01303,Cà Phê Kafa,Ẩm thực,quán cà phê,21.0120484,105.8042676,"Ngõ 189 Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy, Hà Nội, 11313",Hà Nội,Hà Nội,"Cà Phê Kafa là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Kafa Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01304,Cà Phê Phố Xưa,Ẩm thực,quán cà phê,21.0409128,105.8406933,"Ban Chỉ Đạo Công Tác Thông Tin Đối Ngoại, Quán Thánh, Ba Đình, Hà Nội, 11118",Hà Nội,Hà Nội,"Cà Phê Phố Xưa là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Phố Xưa Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01305,SkyLark Hotel,Du lịch,khách sạn,21.0399953,105.8452644,"Công Ty Tnhh Sắc Mầu Hà Nội Hiệu Ảnh Sắc Mầu, 19A Phố Phan Đình Phùng, Quán Thánh, Ba Đình, Hà Nội, 11118",Hà Nội,Hà Nội,"SkyLark Hotel là khách sạn tại Hà Nội, Hà Nội.",SkyLark Hotel Du lịch khách sạn Hà Nội Hà Nội
HN_01306,Viet Mark,Du lịch,chợ truyền thống,21.0066433,105.8614475,"Trung Tâm Hỗ Trợ Và Phát Triển Công Nghệ Thông Tin - CADIT, 133 Phố Kim Ngưu, Thanh Lương, Hai Bà Trưng, Hà Nội, 11623",Hà Nội,Hà Nội,"Viet Mark là chợ truyền thống tại Hà Nội, Hà Nội.",Viet Mark Du lịch chợ truyền thống Hà Nội Hà Nội
HN_01307,Aventus Coffee,Ẩm thực,quán cà phê,21.0090302,105.8019608,"Rượu Winecellar.Vn, Phố Hoàng Ngân, Trung Hòa, Cầu Giấy, Hà Nội, 11313",Hà Nội,Hà Nội,"Aventus Coffee là quán cà phê tại Hà Nội, Hà Nội.",Aventus Coffee Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01308,Pizza Hut,Ẩm thực,nhà hàng,21.0260933,105.8332166,"136 Phố Tôn Đức Thắng, Quốc Tử Giám, Đống Đa, Hà Nội, 11509",Hà Nội,Hà Nội,"Pizza Hut là nhà hàng tại Hà Nội, Hà Nội.",Pizza Hut Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01309,nohu xoak·win,Ẩm thực,quán cà phê,21.0073438,105.8056321,"Cafe Hầm, 44 Phố Nguyễn Thị Định, Nhân Chính, Thanh Xuân, Hà Nội, 11415",Hà Nội,Hà Nội,"nohu xoak·win là quán cà phê tại Hà Nội, Hà Nội.",nohu xoak·win Ẩm thực quán cà phê Hà Nội Hà Nội
